Code,Libelle
001,BANK AL MAGHRIB
002,ARAB BANK MAROC
003,LA CAIXA
005,UNION MAROCAINES DE BANQUES
007,ATTIJARIWAFABANK
011,BANQUE MAROCAINE DU COMMERCE EXTERIEUR
013,BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE
021,CREDIT DU MAROC
022,SOCIETE GENERALE MAROCAINE DE BANQUE
023,ALGEMENE BANK MAROKKO
025,BANQUE MAROCAINE POUR L'AFRIQUE ET L'ORIENT
028,CITIBANK MAGHREB
031,SOCIETE MAROCAINE DE DEPOT ET CREDIT
032,ARGENTARIA
101,BANQUE POPULAIRE D'AGADIR
105,BANQUE POPULAIRE D'AL HOCEIMA
109,BANQUE POPULAIRE DE BENI MELLAL
117,BANQUE POPULAIRE D'EL JADIDA
127,BANQUE POPULAIRE DE FES
133,BANQUE POPULAIRE DU GHARB
140,BANQUE POPULAIRE DE KHOURIBGA
143,BANQUE POPULAIRE DE LAAYOUNE
145,BANQUE POPULAIRE DE MARRAKECH
148,BANQUE POPULAIRE DE MEKNES
150,BANQUE POPULAIRE DE NADOR
155,BANQUE POPULAIRE DE OUARZAZATE
157,BANQUE POPULAIRE D'OUJDA
159,BANQUE POPULAIRE DE SAFI
164,BANQUE POPULAIRE DE TANGER
169,BANQUE POPULAIRE DE TAZA
172,BANQUE POPULAIRE DE TETOUAN
175,BANQUE POPULAIRE DE TIZNIT
178,BANQUE POPULAIRE DE CASA - ANFA
181,BANQUE POPULAIRE DE RABAT
190,BANQUE CENTRALE POPULAIRE
195,BANQUE POPULAIRE DE CASA - EST
197,BANQUE POPULAIRE DE CASA - SUD
205,BANQUE NATIONALE POUR LE DEVELOPPEMENT ECONOMIQUE
210,CAISSE DE DEPOT ET DE GESTION
225,CAISSE NATIONALE DE CREDIT AGRICOLE
230,CREDIT IMMOBILIER ET HOTELIER
310,TRESOR PUBLIC
350,CENTRE DE CHEQUES POSTAUX
